"GEO_CODE","age_total","age0to4pc","age5to14pc","age16to24pc","age25to44pc","age45to64pc","age75pluspc","NSSEC.Total","HigherManagerial1pc","LowerManagerial2pc","Intermediate3pm","SmallEmployers4pc","SupervisoryTechnical5pc","SemiRoutine6pc","Routine7pc","LongTermUnemployed8pc","Average.download.speed..Mbps.","Superfast.availability","Unable.to.receive.decent.broadband","Receiving.under.2.Mbps","Receiving.under.10.Mbps","Receiving.over.30.Mbps"
"E02000001",7375,0.032,0.0387796610169492,0.096135593220339,0.406915254237288,0.272542372881356,0.0607457627118644,5816,0.384628610729023,0.339064649243466,0.078060522696011,0.0646492434662999,0.0259628610729023,0.0440165061898212,0.0266506189821183,0.0369669876203576,24.4,0.544,0.002,0.013,0.249,0.203
"E02000002",6775,0.0926937269372694,0.121623616236162,0.113210332103321,0.280147601476015,0.185682656826568,0.0980073800738007,3926,0.0568008150789608,0.171166581762608,0.143148242485991,0.114620478858889,0.0644421803362201,0.205298013245033,0.13015792154865,0.114365766683647,77.7,0.989,0.01,0.02,0.159,0.798
"E02000003",10045,0.0829268292682927,0.101543056246889,0.117969138875062,0.306022896963664,0.224888003982081,0.0646092583374813,6483,0.0817522751812433,0.207619929045195,0.182477248187567,0.110596945858399,0.0706463057226593,0.155020823692735,0.0965602344593552,0.0953262378528459,74.3,0.99,0.002,0.008,0.164,0.784
"E02000004",6182,0.059042381106438,0.102394047233905,0.138790035587189,0.254448398576512,0.249595600129408,0.0886444516337755,4041,0.0678049987626825,0.206384558277654,0.19079435783222,0.105419450631032,0.0836426627072507,0.150705270972532,0.121504578074734,0.0737441227418956,81.1,0.992,0.008,0.026,0.162,0.799
"E02000005",8562,0.0929689324924083,0.119364634431208,0.11948142957253,0.299462742349918,0.213618313478159,0.0501051156271899,5368,0.0493666169895678,0.166356184798808,0.156482861400894,0.104135618479881,0.0873695976154993,0.192436661698957,0.144560357675112,0.0992921013412817,70.7,0.97,0.03,0.021,0.223,0.737
"E02000005",8562,0.0929689324924083,0.119364634431208,0.11948142957253,0.299462742349918,0.213618313478159,0.0501051156271899,5368,0.0493666169895678,0.166356184798808,0.156482861400894,0.104135618479881,0.0873695976154993,0.192436661698957,0.144560357675112,0.0992921013412817,70.7,0.97,0.03,0.021,0.223,0.737
"E02000007",8791,0.103401205778637,0.125355477192583,0.12854055283813,0.284609259469912,0.197474690023888,0.0688203844841315,5158,0.0564172159751842,0.162659945715394,0.136099263280341,0.0940286932919736,0.079682047305157,0.183210546723536,0.156455990694067,0.131446297014347,75.3,0.988,0.012,0.006,0.177,0.734
"E02000008",11569,0.10216959114876,0.111591321635405,0.118938542657101,0.299507304002075,0.207796698072435,0.0623217218428559,7152,0.0419463087248322,0.158417225950783,0.154642058165548,0.100251677852349,0.0796979865771812,0.189457494407159,0.154502237136465,0.121085011185682,72.9,0.995,0.005,0.004,0.153,0.736
"E02000008",11569,0.10216959114876,0.111591321635405,0.118938542657101,0.299507304002075,0.207796698072435,0.0623217218428559,7152,0.0419463087248322,0.158417225950783,0.154642058165548,0.100251677852349,0.0796979865771812,0.189457494407159,0.154502237136465,0.121085011185682,72.9,0.995,0.005,0.004,0.153,0.736
"E02000009",8395,0.0973198332340679,0.107206670637284,0.131268612269208,0.321262656343061,0.20762358546754,0.0459797498511018,5279,0.0519037696533434,0.16859253646524,0.136389467702216,0.112521310854328,0.0786133737450275,0.193786702026899,0.133169160825914,0.125023678727032,68.9,1,0,0.008,0.189,0.734
"E02000010",8615,0.105629715612304,0.122228670922809,0.121532211259431,0.301450957632037,0.202901915264074,0.0520023215322113,5243,0.0450123974823574,0.167842838069807,0.147243944306695,0.10432958230021,0.0804882700743849,0.185390043868014,0.148960518786954,0.120732405111577,73.5,0.999,0,0.002,0.039,0.709
"E02000011",6187,0.0832390496201713,0.100856634879586,0.129788265718442,0.26830450945531,0.241958946177469,0.0691773072571521,3904,0.0560963114754098,0.185450819672131,0.176229508196721,0.122950819672131,0.0835040983606557,0.161372950819672,0.129098360655738,0.085297131147541,75.5,0.995,0.001,0.007,0.113,0.714
"E02000012",9888,0.0785800970873786,0.110436893203884,0.141788025889968,0.292779126213592,0.213996763754045,0.0626011326860841,6056,0.0904887714663144,0.207562747688243,0.163639365918098,0.128632760898283,0.059775429326288,0.139365918097754,0.0876816380449141,0.122853368560106,76.8,0.999,0,0.004,0.132,0.803
"E02000013",8402,0.105808140918829,0.126874553677696,0.110806950726018,0.302785051178291,0.202332777910021,0.0523684836943585,5044,0.0436161776367962,0.159992069785884,0.150872323552736,0.102299762093577,0.0836637589214909,0.189333862014274,0.156225218080888,0.113996827914354,73.6,1,0,0.008,0.201,0.725
"E02000014",9402,0.0981706019995746,0.120931716656031,0.11922995107424,0.292597319719209,0.216975111678366,0.0562646245479685,5826,0.0417095777548919,0.149330587023687,0.135942327497425,0.0997253690353587,0.0832475111568829,0.199107449364916,0.170614486783385,0.120322691383453,73.5,1,0,0.003,0.04,0.718
"E02000014",9402,0.0981706019995746,0.120931716656031,0.11922995107424,0.292597319719209,0.216975111678366,0.0562646245479685,5826,0.0417095777548919,0.149330587023687,0.135942327497425,0.0997253690353587,0.0832475111568829,0.199107449364916,0.170614486783385,0.120322691383453,73.5,1,0,0.003,0.04,0.718
"E02000015",7563,0.102737009123364,0.115562607430914,0.132222662964432,0.309401031336771,0.196747322491075,0.0520957292079862,4637,0.0439939616131119,0.154625835669614,0.134138451585077,0.0974768169074833,0.0841061030838905,0.189777873625189,0.152037955574725,0.14384300194091,64.3,0.999,0.001,0.002,0.115,0.701
"E02000016",7676,0.12441375716519,0.106826472120896,0.143694632621157,0.440463783220427,0.117378843147473,0.0105523710265763,4563,0.0988384834538681,0.195047118124041,0.100372561911023,0.101906640368179,0.0642121411352181,0.15318869165023,0.108700416392724,0.177733946964716,53.4,0.939,0,0.003,0.044,0.569
"E02000017",8498,0.0860202400564839,0.0983760884914097,0.141798070134149,0.366086137914803,0.186985172981878,0.0405977877147564,5306,0.0853750471164719,0.186581228797588,0.123256690539012,0.119110441010177,0.0616283452695062,0.155672823218997,0.105917828872974,0.162457595175273,74.5,1,0,0.002,0.045,0.744
"E02000018",8890,0.111586051743532,0.124634420697413,0.126096737907762,0.31169853768279,0.190438695163105,0.0462317210348706,5356,0.0468633308439134,0.15832710978342,0.13629574309186,0.103061986557132,0.0905526512322629,0.190627333831217,0.14395070948469,0.130321135175504,71.5,0.999,0,0.014,0.192,0.752
"E02000019",8276,0.10681488641856,0.118293861768971,0.116118898018366,0.322136297728371,0.198646689221846,0.0480908651522475,5029,0.0505070590574667,0.174587393119905,0.147146550009942,0.101610658182541,0.0759594352754027,0.183734340823225,0.158878504672897,0.10757605885862,73.3,0.964,0.013,0.011,0.161,0.726
"E02000020",9276,0.101552393272962,0.11858559724019,0.116645105648987,0.328374299266925,0.185101336783096,0.0588615782664942,5473,0.0588342773615933,0.173579389731409,0.136305499725927,0.109080942810159,0.0745477800109629,0.167184359583409,0.13447834825507,0.145989402521469,77.7,0.995,0.005,0.008,0.126,0.762
"E02000021",7904,0.102353238866397,0.116523279352227,0.11955971659919,0.296179149797571,0.218623481781377,0.0545293522267206,4783,0.0478779008990174,0.178549027806816,0.143633702697052,0.1139452226636,0.0802843403721514,0.182939577670918,0.137988710014635,0.11478151787581,72.5,0.994,0.004,0.005,0.145,0.736
